judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
"SISTEM PEROLEHAN CITRA BERBASIS ISI MENGGUNAKAN
GRAY LEVEL DIFFERENCE METHOD BERDASARKAN
CIRI TEKSTUR PADA POLA BATIK
",Penulis : Nansy Lovitasari,"Dosen Pembimbing I : Fitri Damayanti, S.Kom., M.Kom","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T., M.T","Batik adalah kerajinan yang memiliki nilai seni tinggi dan telah menjadi bagian dari budaya Indonesia sejak lama. Batik di Indonesia mempunyai beragam jenis tekstur batik, warna batik, dan pola batik yang mencerminkan asal usul daerah dari batik tersebut. Saat ini pencarian citra berbasis teks sudah tidak efektif lagi karena adanya penilaian subjektif dari pengguna dalam merepresentasikan suatu citra. Karena itu diperlukan suatu sistem yang dapat menangani pencarian citra menggunakan query berupa citra atau disebut Sistem Perolehan Citra berbasis Isi (SPCI) atau Content Based Image Retrieval (CBIR). Penelitian  ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan kelas citra batik yang  berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai objek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gray Level Difference Method (GLDM) menggunakan empat arah utama. GLDM menghitung perbedaan mutlak antara sepasang derajat keabuan yang terpisah oleh jarak dan arah tertentu. Hasil ekstraksi fitur dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=7 diperoleh akurasi presisi sebesar  61%  pada data pelatihan 168 dan data uji coba 32 dengan 10 citra yang ditampilkan. ","Batik is a craft that has high artistic value and has become part of the culture of Indonesia for a long time. Batik in Indonesia has a wide range of batik texture, color batik and batik patterns. Current text-based image search is no longer effective because of the subjective assessment of the user in representing an image. What is needed a system that can handle image search using the query form or image of the so-called Content-based Image Acquisition System or Content Based Image Retrieval. This study using texture features as similarity search process of batik images of eight different classes, namely: Cirebon, Bali, Jakarta, Pamekasan, Sumenep, Yogyakarta, Solo, and Pekalongan as content-based image acquisition objects. The system is built with the main process is the extraction of texture features using the Gray Level Difference Method using the four cardinal directions. The results of feature extraction will be measured using the method of Euclidean distance similarity Distance. Of a pilot application using Euclidean Distance similarity measurement threshold = 7 with the value obtained by 61% precision accuracy on 168 training data and trial data 32 by the number of displayed image 10."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Pengenalan Tulisan Tangan Carakan Jawa Secara Real Time  Dengan Menggunakan Dominant Point,Penulis : Nining Latifah,"Dosen Pembimbing I : Fitri Damayanti, S.Kom., M.Kom","Dosen Pembimbing II :Rima Tri Wahyuningrum, ST, MT","Pengenalan tulisan tangan adalah salah satu cabang dari pengenalan pola. Carakan merupakan tulisan yang cukup kompleks dan memiliki karakteristik yang lebih unik dibandingkan dengan tulisan latin, apalagi bila ditulis dengan tulisan tangan. Faktor yang menyebabkan proses pengenalan tulisan carakan sulit untuk dilakukan adalah variasi bentuk tulisan carakan dan memiliki kemiripan antar huruf. Hal ini memungkinkan adanya kesalahan dalam proses klasifikasi. Pada penelitian ini dibangun sistem pengenalan tulisan tangan secara real time dimana proses ekstraksi ciri menggunakan metode Dominant Point untuk mendapatkan ciri pada setiap karakter masukan. Metode ini pada dasarnya sistem akan membaca arah goresan pena yang didasarkan pada kumpulan titik. Pada proses klasifikasi serta pengenalan karakter menggunakan Fine Classification. Pada proses ini, pengenalan dilakukan dengan tiga tahap yaitu penilaian prakandidat, menyeleksi kandidat, lalu pencocokan karakter. Proses ini yang membuat sistem dengan cepat melakukan proses pengenalan. Dari uji coba yang dilakukan pada sistem, hasil terbaik untuk pengenalan citra huruf tulisan tangan carakan diperoleh dari data pelatihan sebanyak 600 citra pada data uji coba skenario ke 3 dengan akurasi sebesar 90%. Sedangkan hasil terendah diperoleh dari data pelatihan sebanyak 200 citra pada data uji coba skenario ke 1 dengan akurasi sebesar 40%. Hasil akurasi rata-rata dari sembilan skenario adalah sebesar 67,67%.

Kata kunci: Handwriting Recognition, Carakan, Dominant Point,  Fine Classification.","Handwriting Recognition  is branch of  Pattern Recognition. Carakan represent characteristic which complex enough and have more compared to unique characteristic of Latin article, more than anything else when written with handwriting. Factor causing process recognition of article carakan difficult to be conducted by is variation of form article of carakan and have looking like between letter. This matter enable the existence of mistake in course of classification. A research is woke up by system recognition of handwriting by real time where process of ekstraksi characteristic use method of Dominant Point to get characteristic of each character of inputan. This method basically system will read relied on pen incision movement direction is dots of local curve extrema or of Dominant Point. Method used for classification also represent important factor utilize to obtain;get good accuration storey;level. As for a classification process and also recognition of character use Fine classification. This  process, recognition conducted by 3 phase that is assessment of candidate pre, select candidate, last of adaptation of character / maching. This process make system swiftly conducted identification testing in system, best result for the recognition of handwriting letter image of carakan obtained from training data counted 600 image [at] data test-drive scenario to 3 recognized with accuration equal to 90%. While result of terendah obtained from training data counted 600 image [at] data test-drive scenario to 1 recognized with accuration equal to 40%. Result of mean accuration from 9 scenario got equal to 67,67%. 

Keyword - Handwriting Recognition, Carakan, Dominant Point, Fine Classification
"
,,,,,
PEMANFAATAN TOGAF ADM UNTUK PERANCANGAN SISTEM INFORMASI DINAS PERINDUSTRIAN & PERDAGANGAN SEBAGAI SUB SISTEM ARSITEKTUR E-GOVERNMENT KABUPATEN BANGKALAN,Penulis : Norman,"Dosen Pembimbing I : M. Kautsar Sophan, S.Kom., M. MT.","Dosen Pembimbing II :Yeni Kustiyahningsih S.Kom., M.Kom.","Penyusunan Sistem Informasi Dinas Perindustrian & Perdagangan (DISPERINDAG) Kabupaten Bangkalan dibuat untuk meningkatkan kualitas pelayanan dan membantu proses kinerja dari dinas tersebut. Salah satu faktor pendorong pemanfaatan sistem informasi yang lebih baik adalah semakin meningkatnya kebutuhan fungsi pelayanan yang dijalankan. Tujuan dari penerapan Arsitektur Enterprise adalah menciptakan keselarasan antara bisnis dan teknologi informasi bagi kebutuhan instansi, penerapan arsitektur enterprise tidak terlepas dari bagaimana sebuah instansi merencanakan dan merancang arsitektur enterprise tersebut. TOGAF ADM merupakan metodologi yang lengkap, banyak instansi yang tidak memahami secara jelas tentang tahapan – tahapan dari metodologi tersebut diterjemahkan ke dalam aktivitas perancangan Arsitektur Enterprise. Tahapan dalam perancangan Arsitektur Enterprise sangatlah penting dan akan berlanjut pada tahapan berikutnya yaitu rencana implementasi. TOGAF ADM memiliki empat komponen utama: arsitektur bisnis, arsitektur data, arsitektur teknologi dan arsitektur aplikasi. Pada intinya TOGAF digunakan untuk membuat Arsitektur Enterprise dari semua aspek tersebut yang menghasilkan model dan kerangka dasar dalam mengembangkan sistem informasi yang terintegrasi untuk mendukung kebutuhan Dinas Perindustrian & Perdagangan sesuai dengan Peraturan Bupati Bangkalan Nomor 38 Tahun 2010 Tentang Uraian Tugas Jabatan Struktural pada Dinas Perindustrian dan Perdagangan.","Preparation of the Information Systems Dinas Perindustrian dan Perdagangan (Disperindag) Bangkalan made to improve the quality of service and assist in the performance of the agency. One factor driving the use of better information systems is the increasing needs of the service function is executed. The purpose of the application of Enterprise Architecture is to create harmony between business and information technology for the needs of agencies, the application of enterprise architecture is inseparable from how an agency's plan and design the enterprise architecture. TOGAF ADM is a comprehensive methodology, many agencies that do not understand clearly about the stage - the stage of the methodology are translated into the design of an Enterprise Architecture activities. Stages in Enterprise Architecture design is very important and will continue at the next stage of the implementation plan. TOGAF ADM has four main components: business architecture, data architecture, technology architecture and application architecture. At the core TOGAF Enterprise Architecture is used to make all aspects of the resulting model and the basic framework in developing integrated information systems to support the needs of Dinas Perindustrian dan Perdagangan Office in accordance with the decree No. 38 of 2010 Bangkalan On Structural Position Description Duties at the Dinas Perindustrian dan Perdagangan."
,,,,,
Pengelompokkan Data BBM Time Series Dengan Menggunakan Fuzzy C-Means,Penulis : Novie Safitri Hardi,"Dosen Pembimbing I : Bain Khusnul Khotimah, ST, M.Kom","Dosen Pembimbing II :Mula'ab S.SI, M.Kom","ABSTRAK
Pencatatan laporan mengenai pemesanan, penjualan, harga, tingkat, persediaan dan lain sebagainya adalah komponen dari sistem informasi yang penting dan paling dasar yang digunakan oleh para manajer perusahaan. Karena dengan hal ini para manajer pemasaran dapat menemukan masalah yang penting yaitu dengan cara menganalisisnya. Penelitian ini membahas penerapan algoritma Fuzzy C-Means, dalam penelitian yang dilaksanakan di Depot Pertamina Camplong bertujuan untuk mengidentifikasikan pola dari data penjualan BBM. Pengujian dilakukan pada dua jenis BBM, yaitu BBM jenis Premium dan BBM jenis Solar.Clustering merupakan metode pengelompokan suatu objek kedalam sejumlah kelompok (cluster) yang sesuai. Prinsip clustering adalah meminimumkan kesamaan antar anggota satu cluster dan memaksimalkan kesamaan antar anggota cluster yang berbeda. Fuzzy C-Means merupakan teknik pengclusteran dimana tiap-tiap data ditentukan oleh derajat keanggotaannya. Semakin besar nilai derajat keanggotaan data dalam suatu cluster maka semakin besar pula data tersebut menjadi anggota cluster tersebut.Hasil clustering kemudian diproses atau dievaluasi menggunakan Sum Squared Error (SSE) diaman sebelumnya harus diketahui niai pusat cluster guna mengetahui cluster yang mana yang memiliki nilai error yang terkecil. 

Kata Kunci : Pengelompokkan data, Fuzzy C-Means(FCM), Sum Squared Error (SSE)
","ABSTRACT
Recording a report on reservations, sales, price, rate, inventory and so are the components of the information system and the most important base used by corporate managers. Due to this the marketing manager can find the important problems is by way of analyzing it. This study discusses the application of Fuzzy C-Means algorithm, in a study conducted in Camplong Pertamina aims to identify patterns of fuel sales data. Tests conducted on two types of fuel, namely Premium fuel types and fuel type of Solar.Clustering is a method of grouping objects into a number of groups (clusters) are appropriate. The principle of clustering is to minimize the similarity between members of the cluster and maximizing the similarity between members of different clusters. Fuzzy C-Means is a technique in which each pengclusteran the data is determined by the degree of membership. The greater the degree of membership data in a cluster, the greater the data into the cluster members. Clustering results is then processed or evaluated using the Sum Squared Error (SSE) which must be known before the cluster center value in order to determine which clusters that have the smallest error value.
Keywords: Grouping of data, Fuzzy C-Means (FCM), Sum Squared Error (SSE)
"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"SISTEM PENENTUAN STATUS GIZI PASIEN RAWAT INAP
MENGGUNAKAN METODE NAÏVE BAYES CLASSIFIER
(STUDI KASUS : RSUD DR. H. SLAMET
MARTODIRDJO PAMEKASAN)",Penulis : Nur Anggraeni,"Dosen Pembimbing I : Diana Rahmawati, ST.M.T","Dosen Pembimbing II :Firli Irhamni, ST.M.Kom","Di Indonesia masalah perkembangan gizi adalah masalah yang
perlu perhatian lebih. Jika seseorang tidak mengetahui tentang status
gizinya, maka tidak akan dapat mengontrol berapa banyak jumlah gizi
yang dibutuhkan dalam tubuh. Dalam penelitian ini dirancang aplikasi
sistem pendukung keputusan yang digunakan untuk menentukan status
gizi pasien dan memberikan solusi makanan pada pasien sesuai riwayat
penyakit yang di derita pasien. Sistem yang dirancang ini berbasis Web,
dan memudahkan pihak admin atau ahli gizi rumah sakit dalam
penentuan status gizi pasien. Diharapkan dengan adanya aplikasi ini
dapat memberikan efisien dan efektifitas kinerja setiap pihak.
Metode yang digunakan dalam penelitian ini menggunakan
Naïve Bayes Classifier (NBC). Metode terbaru yang di gunakan untuk
memprediksi probabilitas.Metode Naïve bayes Classifier melakukan
proses penentuan perhitungan probabilitas status gizi. Dimana dicari
nilai probabilitas terbesar yang kemudian menjadi kesimpulan
penentuan status gizi.
Metode ini dapat diterapkan dalam studi kasus Sistem
Penentuan Status Gizi Pasien dengan hasil akurasi terbesar 92%.
Kata Kunci : Naïve Bayes Classifier, Sistem Pendukung Keputusan,
Status Gizi, Web","The Nutrition in Indonesia developmental problems are problems that need more attention.
If someone does not know about nutritional status, it will not be able to control how many
nutrients are needed in the body, while the data collection method is a method of literature,
interviews, observation methods. In this study tried to design a decision support system
application that is used to determine the nutritional status of patients and provide appropriate
solutions in patients with a history of food in the suffering patient's disease. These systems are
designed Web-based. In this system may facilitate the admin or the hospital nutritionist in
determining the nutritional status of patients. It is expected that these applications can provide
efficient and effective performance of each party.
At this final method was applied to the Naïve Bayes Classifier (NBC). Naïve Bayes
Classifier is a new method that is used to predict the probability. Bayes method is also a good
method in machine learning based on training data, using the conditional probability as the
basis.
Key words: Naïve Bayes Classifier, Decision Support System, Nutritional Status, Web."
,,,,,
,,,,,
,,,,,
RANCANG BANGUN GAME PERAWATAN SAPI KARAPAN MENGGUNAKAN METODE FUZZY LOGIC,Penulis : NURRACHMAT,"Dosen Pembimbing I : Arik Kurniawati, S.Kom., M.T.","Dosen Pembimbing II :Kurniawan Eka Permana, S.Kom., MSc.","Perkembangan game yang semakin pesat, memberikan berbagai alternative bagi peminatnya. Mulai dari bentuk game, cerita maupun media penyajian. Keberadaan game yang menggambarkan budaya Indonesia khususnya daerah kepulauan seperti Madura terhitung sedikit, sehingga dapat dirasa semakin lunturnya kebudayaan Indonesia bagi anak bangsa. Adanya peminat game yang semakin banyak dapat digunakan sebagai sarana pengenalan budaya asli Madura. Sebuah aplikasi game tentang olahraga yang sangat digemari di pulau Madura tersebut seperti Kerapan Sapi adalah sangatlah penting. Untuk itu perlu dibangun aplikasi game kerapan sapi sebagai upaya pelestarian budaya bangsa khususnya pulau Madura. Dengan upaya pembuatan game budaya maka dibangun  game perawatan sapi karapan menggunakan metode logika fuzzy (fuzzy logic), dengan menginputkan parameter kekuatan dan kesehatan sapi karapan untuk menentukan harga jual sapi karapan dalam sebuah game perawatan sapi karapan.
Kata kunci : game, kerapan sapi, perawatan sapi kerapan, budaya madura.","The rapid development of the game, providing a variety of alternatives for devotees. Starting from the form of games, stories and media presentation. The existence of games that depict the culture of Indonesia in particular areas such as Madura islands are comparatively few, so it can be considered the erosion of the culture of Indonesia for the children of the nation. There is a growing interest in the game can be used as a means of introduction to indigenous culture Madura. An application of sports games that are very popular on the island of Madura such as bull racing is very important. For it is necessary to build gaming applications bull race as national cultural preservation efforts in particular the island of Madura. With the efforts of the built cultural game development of bull race treatments using fuzzy logic method (fuzzy logic), with the strength parameters and the healt to set prices of cows in a bull race treatments game.
Keywords: game, bull race, bull race treatments, madura culture.
"
,,,,,
,,,,,
,,,,,
"SISTEM PEROLEHAN CITRA BERBASIS ISI
MENGGUNAKAN GRLM BERDASARKAN CIRI TEKSTUR PADA POLA BATIK
",Penulis : Priagung Safara Dila,"Dosen Pembimbing I : Mula'ab . S.Si ,. M,.Kom","Dosen Pembimbing II :Bain Khusnul Khotimah .S.T,. M.,Kom","Batik merupakan seni yang paling penting dalam kehidupan masyarakat Indonesia. Keanekaragaman batik datang dari beberapa wilayah dan provinsi sehingga menyimbolkan karakteristik ciri pola batik yang berbeda-beda dari masing-masing daerah tempat batik tumbuh dan berkembang. Tugas akhir ini telah berhasil membuat suatu Sistem Perolehan Citra berbasis Isi (SPCI) dengan ciri tekstur yang bertujuan untuk mengetahui ciri dari pola batik tersebut. SPCI merupakan metode atau teknik pencarian gambar citra yang mirip (similar) dengan melakukan perbandingan antara citra query dengan citra yang ada dalam basis data. Pada penelitian  ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan wilayah citra batik yang  berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai obyek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gray Level Run Length Matrix (GLRM). GLRM dilakukan dengan membuat rangkaian pasangan nilai (i,j) pada setiap baris piksel dengan arah tertentu. Hasil ekstraksi fitur selanjutnya dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=145 diperoleh akurasi presisi sebesar  0.53  pada data pelatihan 184 dan data uji coba 16 dengan jumlah citra yang ditampilkan 10. 

Kata Kunci: Tekstur, Sistem Perolehan Citra berbasis Isi, Gray Level Run Length Matrix, Euclidean Distance
","Batik is the art of the most important in the life of Indonesian society. Diversity batik comes from several regions and provinces thus symbolizing the traits characteristic of batik patterns different from each area where batik grow and develop. This final project has successfully created a Content-based Image Acquisition System (SPCI) with a characteristic texture aims to determine the characteristics of the batik pattern. SPCI is a method or technique similar image search image (similar) to make comparisons between the query image with the image present in the database. In this study, using texture characteristics as similarity search process batik images of eight different classes, namely: Cirebon, Bali, Jakarta, Pamekasan, Sumenep, Yogyakarta, Solo, and Pekalongan as content-based image acquisition object. The system was built with the main texture feature extraction using the Gray Level Run Length Matrix (GLRM). GLRM done by making a series of pairs of values (i, j) on each row of pixels in a certain direction. The results of the feature extraction is then performed using the method of distance measurement similarity Euclidean Distance. From the test application using Euclidean Distance similarity measurement threshold value = 145 precision accuracy obtained for 0:53 on 184 training data and test data 16 with the number of images displayed 10.

Keywords: Texture, Content-based Image retrieval, Gray Level Run Length Matrix, Euclidean Distance
"
,,,,,
ANALISIS DAN PENERAPAN ALGORITMA PARTICLE SWARM OPTIMIZATION PADA OPTIMASI PENJADWALAN MATA KULIAH DI JURUSAN TEKNIK INFORMATIKA UNIVERSITAS TRUNOJOYO MADURA,Penulis : Qomarul Haryadi Irfan Rifa'i,"Dosen Pembimbing I : Bain Khusnul Hotimah S.T., M.Kom.","Dosen Pembimbing II :Arik Kurniawati, S.Kom, M.T.","Penjadwalan mata kuliah di program studi Teknik Informatika Universitas Trunojoyo Madura dilakukan pada setiap pergantian semester. Beberapa faktor yang mendukung penjadwalan mata kuliah antara lain dosen, mahasiswa, mata kuliah, serta jumlah ruang dan waktu yang tersedia. Permasalahan optimasi penjadwalan merupakan masalah yang sudah umum dan telah dipelajari dalam waktu yang lama, namun perlu dicari metodologi atau pendekatan teknis dan sampai saat ini telah berkembang beberapa solusi alternatif yang ditawarkan. Dalam penelitian ini digunakan algoritma Particle Swarm Optimized (PSO) utnuk melakukan optimasi pada jadwal kuliah. Karena algoritma PSO memiliki tool-tool yang cukup handal dengan penggunaan yang cukup mudah. Hasil penelitian menunjukkan bahwa algoritma Particle Swarm Optimiztion dapat diterapkan  dengan lebih baik pada optimasi penjadwalan mata kuliah dengan memaksimalkan penggunaan parameter-parameter dari algoritma Particle Swarm Optimiztion yaitu apabila nilai w besar maka untuk mengoptimalkan nilai velocity gunakan nilai kecil pada c1 dan c2, begitu juga sebaliknya bila nilai w kecil maka gunakan nilai besar pada c1 dan c2.","Scheduling courses in Information Engineering Trunojoyo Madura University performed at every turn of the semester. Several factors support the scheduling of courses such as faculty, students, courses, and the amount of space and time available. scheduling optimization is a problem that is common and has been studied for a long time, but need to find a methodology or technical approaches and to date has developed several alternative solutions offered. This study used algorithm Particle Swarm Optimization (PSO) for optimizing the class schedule. Because the PSO algorithm has the tools reliable enough with use quite easily. The results showed that algorithm Particle Swarm Optimiztion can be applied better course scheduling optimization with maximize the use of the parameters of the algorithm Particle Swarm Optimiztion ie when the value of w greater then to optimize the value of velocity using a small value on c1 and c2, and vice versa when the value of w is small then use a large value on c1 and c2."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Deteksi Manusia Menggunakan Histogram of Oriented Gradients dan Naïve Bayes Classifier,Penulis : R.A. Uluwiyah Nur Oktavianis ,"Dosen Pembimbing I : Dr. Indah Agustien, S.Kom., M.Kom","Dosen Pembimbing II :Ari Kusumaningsih, S.T, M.T","Deteksi manusia merupakan  suatu aplikasi yang berfungsi untuk mendeteksi objek manusia dalam sebuah citra. Beberapa keuntungan yang dapat diambil dari kajian ini, yaitu penerapan pada video pengawasan. Namun, dalam video pengawasan manusia yang dideteksi dalam keadaan bergerak. Sedangkan aplikasi ini, hanya mendeteksi atau menemukan objek manusia dari background sebuah citra. Sehingga dalam proses pembuatan aplikasi ini diperlukan perhitungan – perhitungan khusus untuk mendapatkan hasil yang baik. Penelitian ini menggunakan dua tahap yaitu proses ekstraksi fitur dan klasifikasi. Proses ekstraksi fitur menggunakan metode Histogram Of Oriented Gradients (HOG). Pada prinsipnya HOG menggunakan histogram untuk memperoleh ekstraksi fitur tersebut, dengan  beberapa langkah diantarnya yaitu konversi citra, gradient compute dan normalisasi. Sedangkan pada metode Naive Bayes Classifier ini di gunakan untuk proses pengklasifikasian atau pencocokan citra. Sehingga pada hasil akhir dapat diketahui kelas citra yang telah diuji. Berdasarkan uji coba aplikasi menggunakan perhitungan distribusi gaussian probabilitas pada naive bayes classfier dengan nilai threshold = 12,13,14 dan 15 pada skenario 1, 2 dan 3 diperoleh rata – rata akurasi sebesar 68,65%.

Kata kunci : Histogram Of Oriented Gradient, Naive Bayes Classifier
","Human detection is an application to detect human objects in an image. One of the advantage that can be drawn from this study is video surveillance. However, video surveillance in humans were detected in motion. While this application, only detect or locate human objects from an image background. Thus, in the process of making this application is necessary calculations - special calculations to obtain good results.

This study used two methods, histogram of oriented gradient method and the naive bayes classifier. Histogram of oriented gradient method is used to get the feature extraction. In principle, this method uses histogram to obtain the feature extraction, with several steps among which are convertible image, gradient compute and normalization. While the naive bayes classifier method is used for classification or matching the image. So at the end result can be known class image has been tested. The image used is 250 images with 75 positive images and 75 negative images and 100 test images.

Based on testing applications using a gaussian distribution probability calculations on naive bayes classfier with threshold value = 12,13,14 and 15 on scenario 1, 2 and 3, obtained the average accuracy of 68.65%.

Key words : Human Detection, Histogram Of Oriented Gradient, Naive Bayes
                  Classifier
"
,,,,,
,,,,,
,,,,,
"MEDIA PEMBELAJARAN INTERAKTIF UNTUK TOPIK SORTING 
(ALGORITMA INSERTION SORT DAN MERGE SORT)
",Penulis : Rahmat Aidil Fitri Rysa,"Dosen Pembimbing I : Yonathan Ferry Hendrawan, S.T., M.IT.","Dosen Pembimbing II :Dr.Indah Agustien Siradjuddin, S.Kom., M.Kom.","Multimedia merupakan perpaduan antara berbagai media yang berupa teks, gambar, grafik, sound, animasi, video, interaksi, dan lain lain yang dikemas menjadi file digital, digunakan untuk menyampaikan pesan kepada publik. Media  pembelajaran  interaktif merupakan segala  sesuatu yang menyangkut Software  dan Hardware yang  dapat  digunakan  sebagai  perantara untuk  menyampaikan  isi  materi  ajar  dari  sumber  belajar  ke  pembelajar  dengan metode  pembelajaran  yang  dapat  memberikan  respon  balik  terhadap  pengguna dari apa yang telah diinputkan kepada media tersebut. Kualitas  media  pembelajaran  dapat  dinilai  melalui  ukuran-ukuran  dan  metode-metode tertentu. Tujuan penelitian ini adalah membuat sebuah media pembelajaran sorting yang dapat diputar pada komputer. Perangkat lunak yang digunakan untuk mengimplementasikan sistem menggunakan Flash dan diaplikasikan pada media pembelajaran Sorting serta pada materi pengantar algoritma. Dengan menggunakan skenario sebelum video dan program dibuat sehingga perancangan media pembelajaran ini terstruktur dan sistematis. Inteface yang dibuat berisi menu pilihan materi tentang algoritma dan Sorting serta Video pembelajaran yang dapat menambah dan membantu pemahaman materi algoritma serta sorting yang didalamnya mencakup materi Insertion Sort dan Merge sort. Dalam video tersebut juga dilengkapi animasi sebagai contoh sesuai materi pembelajaran yang dibuat.
Kata Kunci :	Media Pembelajaran, Video, Flash, Sorting
","Multimedia is a combination of various media such as text, images, graphics, sound, animation, video, interaction, and others were packed into a digital file, used to convey messages to the public. Interactive learning media is everything related to Software and Hardware that can be used as an intermediary to convey the contents of the teaching materials of learning resources to learners with learning methods that can give feedback to the user of what has been entered to the media. The quality of learning media can be assessed through measurements and certain methods. The purpose of this research is to create a learning medium sorting that can be played on the computer. The software used to implement the system using Flash and applied to study media Sorting algorithms as well as the introductory material. By using the scenario before the video and made the program so that the design of learning media is structured and systematic. Interface that is created contains material about the menu options and Sorting algorithms and video learning can increase and help the understanding of the material as well as a sorting algorithm which also includes material Insertion Sort and Merge sort. In the video also features animation as an example of appropriate learning materials are made.
Keywords: Learning Media, Video, Flash, Sorting
"
,,,,,
SISTEM PERAMALAN KEBUTUHAN OBAT MENGGUNAKAN METODE JARINGAN SYARAF TIRUAN ALGORITMA  BACKPROPAGATION DENGAN FUNGSI LYAPUNOV,Penulis : Rahmatina Hidayati,"Dosen Pembimbing I : Bain Khusnul Khotimah, S.T.,M.Kom.","Dosen Pembimbing II :Haryanto, S.T.,M.T.","Obat merupakan salah satu kebutuhan penting dalam rumah sakit. Selama ini, kebutuhan pengumpulan data obat adalah masalah yang sering dihadapi oleh Farmasi yang memiliki kewenangan dalam pengadaan obat-obatan di rumah sakit Dr H. Slamet Martodirdjo Pamekasan. Dalam rangka menjamin ketersediaan obat perlu untuk mengatasi kebutuhan obat sesuai dengan jumlah yang dibutuhkan. Dalam rangka memenuhi tingkat kebutuhan untuk obat perlu untuk meramalkan masa depan pasokan obat dengan menggunakan data sebelumnya sebagai data untuk menentukan nilai kesalahan pelatihan metode yang digunakan. Dalam penelitian ini, metode yang akan digunakan untuk memprediksi kebutuhan obat adalah Jaringan Syaraf menggunakan algoritma Backpropagation dengan penambahan fungsi Lyapunov. Dengan penambahan fungsi ini, mampu memecahkan masalah yang terjadi dalam Backpropagation standar sering lambat untuk mencapai konvergensi.
Dari uji coba yang dilakukan dengan 3 Skenario didapatkan hasil parameter terbaik untuk melakukan peramalan pada nama obat Ambroxol dengan  nilai (?) sebesar 13, learning rate 0.4 dan epoch=125 memperoleh  nilai MAPE  2.7% .  Obat Bisoprolol Tab 5mg dengan nilai (?) sebesar 2,  learning rater  0.5 dan epoch 150 memperoleh nilai MAPE  2,94089%.  Obat Cefixime Caps 100mg dengan  nilai (?) sebesar 4, learning rate   0.2  dan epoch 100  memperoleh nilai MAPE  1,10466%.
","Medicine is one of the important needs in hospital. During this time, requirement of data collection of medicine is a common problem faced by Pharmacy which has authority in the procurement of medicines in the hospital Dr H. Slamet Martodirdjo of Pamekasan. In order to ensure the availability of the medicines, it needs to overcome problem of medicine requirement that correspond to the amount needed. In order to fulfill medicine requirement level, it is important to predict the future supply of medicine by using the previous data as data to determine error value of training of method used. In this study, the method which will be used to predict the need for medicine is Neural Network using Backpropagation algorithm with addition of Lyapunov function. With the addition of this function, it is able to solve problems that occur in the standard Backpropagation that is often slow to reach convergence.
From the experiments performed with 3 Scenario, it is obtained the result of the best parameters to conduct the prediction on a drug named Ambroxol with mark (?) 13, learning rate 0.4 and epoch = 125 gaining MAPE 2.7%. Tablet Bisoprolol 5mg with mark (?) 2, learning rater 0.5 and epoch 150, obtains MAPE 2.94089%. Cefixime Caps 100mg with mark (?) 4; learning rate 0.2 and epoch 100 obtain MAPE 1.10466%."
,,,,,
